customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,transaction_id,transaction_date,product_id,product_category,quantity,unit_price,discount_applied,payment_method,store_location,transaction_hour,day_of_week,week_of_year,month_of_year,avg_purchase_value,purchase_frequency,last_purchase_date,avg_discount_used,preferred_store,online_purchases,in_store_purchases,avg_items_per_transaction,avg_transaction_value,total_returned_items,total_returned_value,total_sales,total_transactions,total_items_purchased,total_discounts_received,avg_spent_per_category,max_single_purchase_value,min_single_purchase_value,product_name,product_brand,product_rating,product_review_count,product_stock,product_return_rate,product_size,product_weight,product_color,product_material,product_manufacture_date,product_expiry_date,product_shelf_life,promotion_id,promotion_type,promotion_start_date,promotion_end_date,promotion_effectiveness,promotion_channel,promotion_target_audience,customer_zip_code,customer_city,customer_state,store_zip_code,store_city,store_state,distance_to_store,holiday_season,season,weekend,customer_support_calls,email_subscriptions,app_usage,website_visits,social_media_engagement,days_since_last_purchase
1,56,Other,High,No,0,No,Divorced,3,Bachelor's,Self-Employed,503290,2020-10-11 10:08:52,1480,Electronics,8,49.72,0.5,Credit Card,Location A,18,Wednesday,27,7,411.13,Weekly,2021-09-11 04:22:38,0.02,Location A,55,86,8.64,171.83,0,750.4,563.16,69,367,415.01,114.28,679.25,0.28,Product D,Brand Y,2.5,560,48,0.4,Small,4.61,Red,Metal,2019-08-04 01:47:01,2022-05-28 14:54:02,250,271,20% Off,2021-07-14 14:28:42,2022-12-30 13:04:13,High,Online,New Customers,37848,City D,State Y,88500,City D,State Y,33.21,No,Spring,Yes,5,No,High,30,High,40
2,69,Female,Medium,No,2,No,Married,2,PhD,Unemployed,347796,2021-12-08 01:07:40,1597,Groceries,7,817.76,0.32,Credit Card,Location C,15,Friday,20,2,268.71,Daily,2021-05-16 12:01:16,0.33,Location C,48,2,9.6,20.18,4,551.6,7554.57,8,475,801.79,305.95,491.56,4.65,Product C,Brand X,4.7,413,80,0.3,Medium,0.84,Blue,Metal,2019-10-23 19:59:17,2022-12-19 08:04:41,180,631,Flash Sale,2021-09-23 04:26:09,2022-09-13 03:16:26,Low,Social Media,New Customers,44896,City A,State X,30046,City C,State X,62.56,No,Summer,Yes,6,No,High,40,Medium,338
3,46,Female,Low,No,5,No,Married,3,Bachelor's,Self-Employed,493688,2020-02-17 09:40:48,5142,Toys,8,270.3,0.35,Debit Card,Location A,9,Saturday,35,6,246.79,Weekly,2021-02-07 16:47:48,0.47,Location B,16,45,1.55,55.17,0,629.19,7564.14,73,138,264.31,426.7,938.26,7.3,Product B,Brand X,4.6,312,14,0.08,Medium,0.23,Green,Plastic,2018-05-12 08:00:29,2023-02-01 12:15:07,131,879,Flash Sale,2021-06-13 12:31:15,2022-03-13 00:53:35,Low,Online,New Customers,11816,City B,State X,26169,City A,State Y,83.04,Yes,Winter,Yes,2,Yes,Low,89,Medium,61
4,32,Female,Low,No,0,No,Divorced,2,Master's,Employed,861348,2020-08-13 00:43:14,8447,Toys,2,547.84,0.1,Credit Card,Location A,13,Friday,42,8,178.92,Weekly,2021-12-30 23:48:26,0.41,Location B,50,47,1.78,15.79,3,346.67,8125.92,20,158,192.93,689.58,644.31,7.31,Product A,Brand Z,1.1,110,69,0.09,Large,4.37,Blue,Wood,2019-11-15 16:17:29,2023-02-05 11:46:57,16,211,Buy One Get One Free,2021-05-23 05:42:48,2022-02-06 00:42:30,High,Social Media,Returning Customers,78604,City A,State Y,22667,City B,State Z,50.43,Yes,Winter,No,12,No,Low,12,Low,42
5,60,Female,Low,Yes,7,Yes,Divorced,2,Bachelor's,Employed,535835,2021-07-02 11:59:03,6025,Clothing,4,785.29,0.17,Mobile Payment,Location C,17,Monday,37,3,214.06,Yearly,2021-11-02 11:48:25,0.22,Location B,48,42,9.38,240.03,2,979.91,114.32,83,263,497.26,715.86,162.86,1.92,Product C,Brand X,3.8,172,25,0.39,Small,1.68,Red,Metal,2019-08-27 02:58:19,2023-10-05 08:13:07,57,862,Flash Sale,2021-04-19 04:55:32,2022-12-04 13:07:09,Medium,Online,New Customers,17760,City B,State Z,87843,City C,State X,36.55,Yes,Summer,Yes,3,No,Medium,31,Low,242
6,25,Other,Medium,Yes,4,Yes,Divorced,0,Bachelor's,Unemployed,978720,2020-12-01 16:31:54,1883,Clothing,2,751.17,0.32,Credit Card,Location B,19,Saturday,50,2,498.08,Weekly,2021-09-22 18:23:28,0.09,Location C,3,6,5.36,52.14,9,654.76,3372.17,52,324,903.91,34.78,304.16,4.52,Product A,Brand Y,3.3,678,74,0.38,Large,0.26,Green,Glass,2019-02-09 22:23:36,2022-10-31 01:48:25,89,171,Buy One Get One Free,2021-06-22 22:55:54,2022-05-11 04:36:17,High,Social Media,Returning Customers,54549,City D,State Z,72623,City D,State X,66.71,Yes,Summer,No,4,Yes,Medium,80,High,147
7,78,Male,High,No,0,No,Single,2,Master's,Retired,24070,2020-03-14 22:58:48,7781,Toys,5,340.07,0.41,Debit Card,Location A,15,Thursday,12,10,486.99,Monthly,2021-08-08 21:30:47,0.0,Location B,40,84,3.24,49.28,7,874.15,1322.64,58,76,911.93,186.46,132.03,4.87,Product D,Brand Y,2.4,434,20,0.09,Medium,9.12,White,Plastic,2018-12-14 12:35:24,2023-11-04 17:03:25,316,664,Buy One Get One Free,2021-06-07 16:39:20,2022-11-04 11:10:31,High,Social Media,Returning Customers,76235,City D,State X,87220,City B,State Z,65.35,No,Spring,No,16,No,Medium,9,High,191
8,38,Other,Low,Yes,2,No,Married,1,Master's,Employed,752282,2021-11-17 15:56:04,8642,Groceries,7,17.7,0.42,Debit Card,Location D,22,Saturday,3,9,188.97,Monthly,2021-12-31 23:40:55,0.15,Location D,57,4,5.48,11.62,3,761.87,1716.65,86,129,171.27,805.17,836.72,2.76,Product B,Brand Y,2.4,868,60,0.26,Medium,0.58,Blue,Wood,2018-01-06 22:13:14,2022-01-24 05:50:56,360,733,Buy One Get One Free,2021-01-22 12:56:56,2022-03-02 03:29:31,Low,In-store,New Customers,52863,City B,State Y,72175,City A,State Z,75.0,Yes,Summer,Yes,1,No,Medium,23,Medium,127
9,56,Female,Low,No,0,No,Single,4,PhD,Self-Employed,11898,2020-05-18 08:48:18,7193,Groceries,7,458.85,0.2,Mobile Payment,Location B,19,Sunday,6,10,95.89,Daily,2021-04-16 23:26:21,0.38,Location D,61,88,2.3,383.94,3,717.51,1358.62,88,270,827.61,360.27,888.73,4.79,Product B,Brand Z,4.4,392,45,0.28,Medium,6.52,Blue,Wood,2018-12-25 09:49:50,2022-10-04 03:00:26,77,429,Flash Sale,2021-05-30 14:38:58,2022-07-12 07:53:21,Medium,In-store,New Customers,65537,City C,State Y,58487,City A,State X,88.15,Yes,Winter,No,0,No,Medium,43,Medium,68
10,75,Male,Medium,No,3,No,Married,2,High School,Self-Employed,321956,2020-03-10 18:03:08,7739,Clothing,4,612.28,0.1,Credit Card,Location C,19,Saturday,33,8,428.36,Yearly,2021-08-17 06:19:23,0.49,Location A,25,6,8.82,134.85,3,642.23,6757.7,74,70,74.83,908.07,547.2,7.7,Product A,Brand X,3.6,356,61,0.03,Large,8.38,Red,Plastic,2018-02-27 19:00:28,2022-02-20 12:19:26,10,516,20% Off,2021-03-29 15:56:01,2022-12-31 14:47:35,Low,In-store,Returning Customers,43331,City C,State X,17320,City C,State Z,59.66,Yes,Spring,Yes,0,No,Medium,57,High,309
